,股票编号,年份（年末）,交易日平均价,预增或预减,超涨或超跌,次新股,每股资本公积(元/股)+每股未分配利润(元/股),每股现金流量净额(元/股),实收资本(或股本),每股收益(期末摊薄，元/股),每股净资产(元/股),营业总收入同必增长(%),近两年送转比例,上市时间,是否高转送
0,1,1,-0.45551813453367684,1,0,0,-0.783709560162497,-0.20317418882160093,-0.08551497581285439,0.03107285971396806,-0.7320337691880193,-0.007478113727799081,-0.7437572746341837,1.4194745891104816,0
1,1,2,-0.4925004566357132,1,0,0,-0.6237950248893168,0.19914446365805302,-0.08551497581285439,0.3162703154463522,-0.5787078770478573,-0.007906736610164215,-0.7437572746341837,1.5603790329414307,0
2,1,3,-0.37697403159866627,1,0,0,-0.4866964689381114,0.051030982139688916,-0.08551497581285439,0.1302525797210068,-0.45170684561127894,-0.00924082436528836,-0.3751374429620881,1.7012834767723795,0
3,1,4,-0.2077814524196731,1,0,0,-0.36361178861106297,-0.2946856796036554,-0.08551497581285439,0.4212491495167709,-0.33663031921509545,-0.009508516940844907,-0.05075199109064411,1.8421879206033283,0
4,1,5,0.2041964287723588,1,0,0,-0.3599056396856661,-0.0037336664889498802,-0.08551497581285439,-0.22914379697616338,-0.3257416292311756,-0.009304357948601894,-0.30141347662766904,1.983092364434277,0
5,1,6,0.4884270041927282,1,0,0,-0.25873935573772283,1.785956084582887,-0.08551497581285439,0.26497046027029775,-0.19411732571325757,-0.006021185514651604,-0.3603926496952043,2.123996808265226,0
6,1,7,0.39598546361251513,1,0,0,-0.031042831133650958,-0.5180116493360266,-0.08551497581285439,0.933950310812527,0.022595395126800047,-0.007569175026327742,-0.03600719782376027,2.2649012520961747,0
13,2,7,0.5127530885128823,0,0,1,0.15079010051863423,0.90545433130685,-0.1254737768693851,-0.01903743360293155,0.10210051665672097,-0.008580020061948924,0.28837825404768375,-1.2577098436775462,0
14,3,1,-0.7974295300250283,0,0,0,-0.33674220890193546,0.009009190064250702,-0.08594654550313993,-0.6096548966733327,-0.33167861796950776,-0.009989690766464705,2.2052013787425806,0.15133459463194218,0
15,3,2,-0.7612850306578532,0,0,0,-0.8182230720302556,-0.07213020817450094,-0.03994333632513833,-0.6148592298071354,-0.7712684224247424,-0.0073255533552921154,0.7602116385879661,0.292239038462891,0
16,3,3,-0.8028890362475896,0,0,0,-0.8038038363673833,-0.24667770840322528,-0.03994333632513833,-0.526088176067702,-0.7561859446511919,-0.007062900673681504,-0.6847781015666484,0.43314348229383987,0
17,3,4,-0.6765928739181964,0,0,0,-0.8052515507913665,-0.10087572179451157,-0.03994333632513833,-0.6127774965536144,-0.7574238699625889,-0.0087216905531813,-0.6995228948335321,0.5740479261247887,0
18,3,5,-0.5358548254055817,0,0,0,-0.8133297972771923,-0.14775758009024023,-0.014257613864411094,-0.6790955702014992,-0.7689946820568704,-0.009673064840240454,-0.7290124813672999,0.7149523699557375,0
19,3,6,-0.34489310592044325,0,0,0,-0.8151828717398909,-0.11024023963360781,-0.014257613864411094,-0.6294313625817828,-0.7705610365325155,-0.008848092948521022,-0.7437572746341837,0.8558568137866863,0
20,3,7,-0.6235556004100875,0,0,0,-0.8107239113140228,-0.10466894421034803,-0.014257613864411094,-0.6266061531662899,-0.7666451503434029,-0.00553087185682065,-0.7437572746341837,0.9967612576176352,0
21,4,1,-0.5919432327646067,1,0,0,-0.5784815634186439,-0.3361147806766192,-0.11834798650912004,-0.48698132994798504,-0.4862929629847972,-0.008309349929416957,-0.7437572746341837,0.8558568137866863,0
22,4,2,-0.418895424321387,1,0,0,-0.543475828646731,-0.2113533246557483,-0.11834798650912004,-0.43136931303249415,-0.4541574324522075,-0.008647421686566976,-0.6847781015666484,0.9967612576176352,0
23,4,3,-0.4210722490144216,1,0,0,-0.5355133993148237,-0.08042788220914318,-0.11834798650912004,-0.4780596160043234,-0.434679056634105,-0.008554069246066574,-0.6847781015666484,1.137665701448584,0
24,4,4,0.04200321913107937,1,0,0,-0.504358584910706,-0.14129724816326877,-0.11834798650912004,-0.4536735978916482,-0.4063583571631671,-0.009028617002529233,-0.7437572746341837,1.2785701452795328,0
25,4,5,0.4181719016882548,1,0,0,-0.48973666922847603,-0.16399731355804006,-0.11834798650912004,-0.5336716329198143,-0.391604308553865,-0.008698299879745106,-0.6847781015666484,1.4194745891104816,0
26,4,6,0.40274946602777495,1,0,0,-0.4852487545141283,0.14876572844772507,-0.11834798650912004,-0.521181233398688,-0.38488414257771025,-0.008948278619463457,-0.6257989284991131,1.5603790329414307,0
27,4,7,0.31212339671640044,1,0,0,-0.47129278746693054,-0.28164647754921757,-0.11834798650912004,-0.48014134925784446,-0.3713932830616703,-0.008632917304664903,-0.19819992375948228,1.7012834767723795,0
34,5,7,2.6884916326052966,0,0,1,0.9409236788401645,0.8149504152290024,-0.12665164103012855,0.5364879546224006,0.770554921029195,-0.008481318531554984,-0.3751374429620881,-1.2577098436775462,0
35,6,1,-0.6935732269622341,0,1,0,0.9925781294878835,2.931627792365991,-0.12571667979759685,0.04118413551678464,0.8304806116135521,-0.008889948803948087,1.025617917391875,-1.2577098436775462,1
