,股票编号,年份（年末）,交易日平均价
11,1,1,6.0894753748125
23,1,2,5.661999475773714
35,1,3,6.9973607943300005
47,1,4,8.953045180391
59,1,5,13.715066739252519
71,1,6,17.000466731900456
83,1,7,15.931941868615002
95,2,1,8.390189338032
107,2,2,8.390189338032
119,2,3,8.390189338032
131,2,4,8.390189338032
143,2,5,8.390189338032
155,2,6,8.390189338032
167,2,7,17.28165012368857
179,3,1,2.1373470910338184
191,3,2,2.555138659655714
203,3,3,2.074241066367273
215,3,4,3.534088973914782
227,3,5,5.160869565217391
239,3,6,7.368181818181819
251,3,7,4.147142857142858
263,4,1,4.512547853689909
275,4,2,6.512794546876428
287,4,3,6.4876327928325
299,4,4,11.840287542908477
311,4,5,16.188393249270003
323,4,6,16.010126467342634
335,4,7,14.96258650085962
347,5,1,20.487722592287994
359,5,2,20.487722592287998
371,5,3,20.487722592287994
383,5,4,20.487722592287994
395,5,5,20.487722592287994
407,5,6,20.487722592287994
419,5,7,42.43084945311714
431,6,1,3.3378143413087273
443,6,2,2.9045809661373334
455,6,3,3.3034074455925007
467,6,4,4.952041090595826
479,6,5,9.044927328685697
491,6,6,7.36947526392
503,6,7,5.803518739069714
515,7,1,9.291729712748001
527,7,2,9.291729712748001
539,7,3,9.291729712748001
551,7,4,9.291729712748003
563,7,5,9.291729712748003
575,7,6,9.291729712748001
587,7,7,18.883382125607998
599,8,1,9.864996210810004
611,8,2,9.864996210810002
623,8,3,9.864996210810004
635,8,4,9.864996210810004
647,8,5,11.34056975796861
659,8,6,22.140018247240274
671,8,7,18.457461911248384
683,9,1,7.120900490280409
695,9,2,4.60375450521757
707,9,3,4.735650599148
719,9,4,6.663794816520348
731,9,5,7.740145134706956
743,9,6,6.424202942904091
755,9,7,4.653699374
767,10,1,22.96284331048001
779,10,2,22.96284331048001
791,10,3,22.96284331048001
803,10,4,22.96284331048001
815,10,5,22.96284331048001
827,10,6,22.96284331048001
839,10,7,35.61429979398014
851,11,1,7.283976479063997
863,11,2,7.283976479063997
875,11,3,7.283976479063997
887,11,4,7.283976479063997
899,11,5,7.283976479063997
911,11,6,24.060510138792548
923,11,7,10.825127291753523
935,12,1,15.477130863238001
947,12,2,15.477130863238001
959,12,3,15.477130863238001
971,12,4,15.477130863238003
983,12,5,15.477130863238003
995,12,6,31.725522073068905
1007,12,7,17.12492355994943
1019,13,1,14.997697929423548
1031,13,2,10.276844201950142
1043,13,3,13.027182025141089
1055,13,4,16.212810142460786
1067,13,5,20.23114441693322
1079,13,6,17.604274131589094
1091,13,7,16.37450636582143
1103,14,1,2.330409420019182
1115,14,2,1.247092853098
1127,14,3,1.6373141596142728
1139,14,4,3.0053550034449557
1151,14,5,3.607227165081217
1163,14,6,5.006817157180365
1175,14,7,4.614040098990001
1187,15,1,2.0733276803836365
1199,15,2,1.4465361595733335
1211,15,3,2.810689277477727
1223,15,4,6.085567213728348
1235,15,5,16.523915476593128
1247,15,6,19.262549555265547
1259,15,7,19.405642839376004
1271,16,1,2.2555152285034095
1283,16,2,2.1519075351416665
1295,16,3,5.448676348229818
1307,16,4,6.5950979913586965
1319,16,5,13.558144190819347
1331,16,6,16.508237102515636
1343,16,7,11.291791410980668
1355,17,1,4.703303457481364
1367,17,2,4.356814486905716
1379,17,3,7.980514115818225
1391,17,4,12.476638300057044
1403,17,5,17.616289336176695
