,股票编号,年份（年末）,每股资本公积(元/股),每股未分配利润(元/股),每股资本公积(元/股)+每股未分配利润(元/股),每股现金流量净额(元/股),实收资本(或股本),每股收益(期末摊薄，元/股),每股净资产(元/股),营业总收入同必增长(%),近两年送转比例,上市时间
0,1,1,0.1306,0.6765,0.8070999999999999,-0.1278,595979092.0,0.4381,1.9153,44.004,0.0,20
1,1,2,0.2015,1.1579,1.3594,0.551,595979092.0,0.6299,2.5222,30.1415,0.0,21
2,1,3,0.2015,1.6314,1.8329,0.3011,595979092.0,0.5048,3.0249,-13.0055,0.125,22
3,1,4,0.2013,2.0567,2.258,-0.2822,595979092.0,0.7005,3.4804,-21.6632,0.235,23
4,1,5,0.2013,2.0695,2.2708,0.2087,595979092.0,0.2631,3.5235,-15.0603,0.15,24
5,1,6,0.2013,2.4189,2.6201999999999996,3.2283,595979092.0,0.5954,4.0445,91.1239,0.13,25
6,1,7,0.1996,3.207,3.4066,-0.659,595979092.0,1.0453,4.9023,41.0589,0.24,26
7,2,1,,,0.0,,,,,,0.0,-5
8,2,2,,,0.0,,,,,,0.0,-4
9,2,3,,,0.0,,,,,,0.0,-3
10,2,4,,,0.0,,62337600.0,,,,0.0,-2
11,2,5,,,0.0,,62337600.0,,,7.0478,0.0,-1
12,2,6,,,0.0,,62337600.0,,3.9462,-0.5993,0.0,0
13,2,7,2.1735,1.8611,4.0346,1.7427,83117600.0,0.4044,5.2170000000000005,8.3662,0.35,1
14,3,1,2.207,0.1438,2.3508,0.2302,590440000.0,0.0072,3.5,-37.2253,1.0,11
15,3,2,0.6126,0.0753,0.6879000000000001,0.0933,1180880000.0,0.0037,1.76,48.9381,0.51,12
16,3,3,0.6257,0.11199999999999999,0.7377,-0.2012,1180880000.0,0.0634,1.8197,57.4328,0.02,13
17,3,4,0.6357,0.09699999999999999,0.7327,0.0448,1180880000.0,0.0051,1.8148,3.7843,0.015,14
18,3,5,0.6763,0.0285,0.7048,-0.0343,1510550000.0,-0.0395,1.7690000000000001,-26.985,0.005,15
19,3,6,0.6763,0.0221,0.6984,0.028999999999999998,1510550000.0,-0.0061,1.7628,-0.3038,0.0,16
20,3,7,0.6971,0.0167,0.7138000000000001,0.0384,1510550000.0,-0.0042,1.7783,106.9816,0.0,17
21,4,1,0.7415,0.7744,1.5159,-0.3521,174575386.0,0.0897,2.888,17.1202,0.0,16
22,4,2,0.7415,0.8953,1.6368,-0.1416,174575386.0,0.1271,3.0152,6.1863,0.02,17
23,4,3,0.7386,0.9257,1.6643,0.0793,174575386.0,0.0957,3.0923,9.2055,0.02,18
24,4,4,0.7386,1.0333,1.7719,-0.0234,174575386.0,0.1121,3.2044,-6.1423,0.0,19
25,4,5,0.7386,1.0838,1.8224,-0.0617,174575386.0,0.0583,3.2628,4.5408,0.02,20
26,4,6,0.7386,1.0993,1.8378999999999999,0.466,174575386.0,0.0667,3.2894,-3.5439999999999996,0.04,21
27,4,7,0.7376,1.1485,1.8861,-0.2602,174575386.0,0.0943,3.3428,6.6554,0.185,22
28,5,1,,,0.0,,,,,,0.0,-5
29,5,2,,,0.0,,,,,,0.0,-4
30,5,3,,,0.0,,,,,,0.0,-3
31,5,4,,,0.0,,51000000.0,,3.81,,0.0,-2
