股票编号,年,月,日,开盘价,最高价,最低价,收盘价,成交量,成交金额,息前税后利润,息税前利润,企业自由现金流量,毛利,无息流动负债,无息非流动负债,净债务,净营运资本,留存收益,全部投入资本,120日收益损失方差比,120日收益方差,个股收益的120日峰度,120日损失方差,120日方差,120日信息比率(InformationRatio120),个股120日的beta值,个股120日的alpha,120日特诺雷比率,120日夏普比率,波幅中位数,资金流量指标,过去1年的价格动量,月度换手率对数,120日平均换手率,当前价格处于过去1年股价的位置,流通市值,市净率,市盈率,过去3个月的价格动量,基本每股收益,对数流通市值,总市值,市现率,市销率,稀释每股收益,每股收益TTM值,每股净资产,每股营业收入,每股营业总收入,每股资本公积金,每股息税前利润,每股营业利润,每股盈余公积金,每股未分配利润,每股现金流量净额,每股股利,每股企业自由现金流量,每股经营活动产生的现金流量净额,每股留存收益,每股股东自由现金流量
1,4.010559904279705,11.714308165998949,73.6941513632335,18.33166095889209,19.47558559628558,17.621808672742056,18.50421445978332,8163589038.715037,2.233136153378886e+16,1055746945708283.4,2220743160370732.0,2.429621530287513e+16,3657455587115097.5,1.1220529340452725e+17,26935003637080.414,1.841258258730757e+17,,383953540727103.56,1.6838922175470932e+18,0.3371252852708665,0.00447588349466522,,0.008681872418115947,0.015171821096682568,,0.16021499025174885,0.08657213929225811,0.49760745947025065,,0.00022972560996865825,447.8397905066911,2204.6179061539533,,0.00021240900510801733,,5.361017036867647e+18,0.5226491141262594,327.6736391250132,387.0004704352093,0.00801070884643444,0.12470744500624042,,274.23326812909545,0.014771023477351947,,0.005058284889541031,0.3567113275350697,0.2730204570699062,0.2730204570699062,0.1301519773609222,,0.0059863189204801765,0.0008280032905092805,0.059490192161036105,0.4010558888801853,0.00015551200786707986,0.13017105735900505,0.036457039641674134,0.052919304522189646,
2,4.010559904279705,11.714308165998949,73.6941513632335,7.648799216834472,8.446576610759626,7.098151447698131,7.749561088982566,105801822.66290066,1115938527713008.8,367560661022654.7,397638187055517.6,,3216372065586686.0,1.013593409276014e+16,5731828133170.59,8656097300726053.0,1339914201724209.5,2.6425872359728708e+16,1.6120821076263854e+16,2.709784057743249,0.006507338919365063,39.79042561219697,0.0017133169510835464,0.00846134630543434,,0.20238849290578612,0.2418567021399334,308.3113240742071,2.3597223455675476,0.00016041464678375437,571.7529267595156,4668.812930011959,87.73102205754148,0.00010062518120391971,0.10652445350349722,3.4504092804809303e+18,20.541486518216363,454743.92060991016,823.1022694475589,0.011126801950908826,0.3120034246310148,3.4504092804809303e+18,141979.48665212558,7.250782785758095,0.011126801950908826,0.011086126862362716,0.11831564309377617,1.9966739876170354,1.9966739876170354,0.00014316414244472595,0.021178384271631837,0.018630685090684208,0.00012972762963101112,0.11548422925401586,0.25529573070743955,,0.30194354309358706,0.1258008900982418,0.07705733331227724,0.3189181174809903
3,4.010559904279705,11.714308165998949,73.6941513632335,2.7608715651360676,2.9819048990179065,2.5497296800854854,2.772100288876575,94846348500.44958,4.65626559880138e+16,484901901259065.9,573348233084069.2,1331575010447743.8,3719525352190721.5,583866933727052.0,82486216359751.36,1237543068393364.2,,585133650507143.6,4798737792455210.0,0.9300342021008683,0.0019368698080450858,7.408108934450804,,0.005476430260557623,,,0.06247254524313908,0.3329115894299449,2.1103419984813083,5.842667821447514e-05,,1441.0521346164423,0.7394468846988088,9.383588022164516e-05,0.08474487176598472,7.522529484666172e+19,0.9758790021690674,,137.2966096701573,0.018333196767505916,,5.108737960895802e+22,48180.39359087332,0.31629582331455264,0.051370192414636896,70.8645949656294,1.496725409501972,38.10311241348209,,282.7774242793256,,117.57020429174516,,0.20369420068753802,0.0,,0.0,0.0,0.0,0.0
4,4.010559904279705,11.714308165998949,73.6941513632335,19.977133884916437,21.37823219129366,18.64906744412155,20.156070857816626,969482884.6062777,3931737483003701.0,509158887977958.5,849566104566604.2,611373061147168.0,2062461689180303.8,140241218175048.48,0.0,,3.1877678546281704e+16,4919201689670938.0,3626067654729657.0,0.07191032002256523,0.005698776786995649,1.0155419360991076,0.0024345883614558827,,,0.01643176608953329,0.0762981637326481,,0.836943323037747,0.0001554361118314257,284.9724580446602,,2.3501956039560064,,,2.112623553350669e+16,25.785129524713614,56.92874942088649,,0.0460001755078759,0.03263046093509878,3.373112910364724e+17,3869.3504782524055,,0.0460001755078759,,0.0015731660165383614,3.3993182192415135,3.3993182192415135,1.609580838319e-07,0.07189819280866835,,0.0,0.0015587276931850649,1.2314042311408306,,0.006382794297596031,0.01005967815823893,0.05115318027852961,0.004297663768628537
5,4.010559904279705,11.714308165998949,73.6941513632335,53.50501752520167,59.554030431598974,48.50538571056078,54.14468104888888,93171671.23246226,3267872869481460.0,8.531496696223056e+18,8.463634784036923e+18,3.925286860123884e+18,8.784848157995154e+18,3.3169568309559696e+20,4157927506798912.5,1.3601630591270944e+17,1.4384505423894274e+17,,2.0864096656636795e+20,0.35329359633780355,0.006257723792506647,1.344816810162151,,0.04262968138913116,,,0.10746168915714907,0.5362132311553776,1.5456982805344357,0.00024236915639067733,,1252.312871156708,0.5128788376733304,0.00023816419216833023,0.07792423920675429,3.3329221789821573e+18,0.31780506587791424,,495.98314074449405,0.01128647712757618,,3.499410885135472e+18,7.072832458293158,1.16616270674822,0.003394959822251513,0.0034270865378560065,0.587737023468387,0.921114707107609,,0.18253296811031886,0.0074811911809014075,0.0035145981141838875,,0.16327234516123043,0.004001880532516645,0.0001494703150355326,0.03239948855376077,0.0034507114986794926,0.045228540609999326,
6,4.010559904279705,11.714308165998949,73.6941513632335,5.465373476030226,5.778892573169398,5.1353786709949,5.475151869345811,6473539315.97058,1.071377521052187e+16,7.680428033933068e+17,1.03055129614669e+18,1761415801076433.0,1388443512119590.5,8.508786317381325e+17,1.1638153784272352e+16,8277410512991497.0,1.536715054731688e+16,9689486740468334.0,,2.5407906373982647,,5.2656607731003,0.007501543899801594,0.019839092894986535,,0.08656584124652064,0.08224699601420818,0.3982516618046608,2.156252123622917,,312.8506278326455,2879.864427963923,0.5744727259330368,9.009157808045299e-05,0.10086594225530084,,0.26386083009147576,88899.82818270625,344.50416106906096,0.04659163659585394,0.22096754226589532,2.4390130989593585e+18,,0.03585658914617757,0.00513674890150675,0.0051170655717553285,,19.041329138682435,19.041329138682435,,0.020045935224707094,0.009007952777653433,0.0039087813372827695,0.5696943472750758,0.06971126263595905,0.000413626987926504,0.8331447389452833,0.468496931464857,1.6477680775844514,
7,4.010559904279705,11.714308165998949,73.6941513632335,26.369339935258942,29.207659011879592,24.362387716014098,26.839136028596855,571694313.61184,8863679957398214.0,4.356560375220714e+17,5.7438345813474266e+17,,2.96205181561273e+17,6.647343639772851e+18,1.5459750797503606e+17,1.6791692884897859e+18,2.324327489860135e+18,1.3266195176875674e+18,2.5355887646446367e+19,,,,,0.44297000009251214,,,,,,0.0017047115757191664,,,13.924413177533333,0.012358162538528018,,2.7616195313333324e+16,3.38488267091133,,,0.004172564587737845,,4.418591250133332e+17,,,0.01668449197860962,,0.017815329768270875,,,,,,,,,,,,,
8,4.010559904279705,11.714308165998949,73.6941513632335,32.48019690361993,35.282360969599836,30.151742505381154,32.768931230996685,1752661178.5669463,1.7164894676534454e+16,588163240784868.6,811868191880377.0,690310173873944.1,,3.1098483772681452e+16,13336174048821.871,4.398952984843478e+16,9118817496090684.0,3474497223869269.0,2.051580521422534e+17,0.406301381507961,0.007087448339170762,10.134701047074062,0.005415749688788302,,,0.1815154696508119,0.17994344188911177,,1.3112573298026953,0.00023413796661470357,422.98540989505295,1432.4973475766344,0.9181109306598799,,0.09354810974250961,4.102483986871787e+18,1.5007505879425478,27426.39428129829,,0.014471821662286817,0.5141167952005516,1.8107462078099456e+18,27796.085863034747,,0.0144891184070371,,3.2523803912983067,0.5354351663374064,0.5354351663374064,2.3673102610666468,0.017998238404591596,,0.0006026148766468346,0.06704455982357846,2.121840187316953,0.030636452355506202,0.433620873044214,,0.55913571446732,0.4549175194783362
9,4.010559904279705,11.714308165998949,73.6941513632335,6.583946068408441,6.9385618201543995,6.221180925624631,6.593508035332231,1370453969.967886,4268828218673058.0,9278072669483312.0,1.5739952151920188e+16,6.286629637760118e+16,4.880664488658394e+16,1.812608850572413e+16,14688019811707.059,5.452033250184167e+18,8.541012299499511e+17,,1.84250603859551e+17,0.04036856894593977,0.004078863170725583,3.184892614182824,,0.03502511008469405,,,0.41545148301066903,0.5865284394174068,1.295835023275813,0.0002542274670009055,,,1.0091358965603408,0.0014051980671588502,0.04723884132764878,3.413704171748534e+18,8.283024376144333,,488.534272842623,0.021201921206225684,,1.0021231663038634e+19,323.3601362642569,1.5961125229148654,0.4469897589560093,0.25212458260113857,3.065442230108677,6.956969098695261,,1.8984144744568225,0.460893793838697,0.3965392094682482,,0.01222474629911068,2.3447616041398134,,0.164983786470197,0.20940885885766247,0.32881077471354087,0.2081825702736409
10,4.010559904279705,11.714308165998949,73.6941513632335,15.406981212584302,17.36255874898813,13.972078832946357,15.657072671642881,308225046.44496834,7008163343661439.0,3911613585640874.0,6381277752865790.0,,9.090903812993976e+16,1.576016834151116e+18,1.094703757019772e+16,2.579755738578578e+17,1.2722632803263803e+18,8.496360065924348e+17,4.949290863392468e+18,6.888429033348854,0.0026073642611269205,26.65403775328539,0.005792465237221708,0.00807940913716377,,0.11298544920083739,0.25882964760073324,15.954129175244958,2.3349343021216624,0.00015361632328429772,414.98745284067513,3350.6123670605402,0.5999503370257868,7.041212281209684e-05,0.09140997222888746,2.7681812203550634e+19,1.1815318872991967,38.48146614409108,529.7853924194092,0.023478388671625414,0.1913932144555355,2.959240881616694e+19,40.46938517345907,4.198783037792573,0.023448306726326057,0.022995652968040525,0.6407567810775028,0.5942852119413863,0.5942852119413863,0.08627605369698549,0.040148597054532074,0.03475016337270679,0.004604550379406333,0.34941257662140174,0.034347224316217444,0.008172790630520097,0.02200656790969371,0.04401650351824909,,0.06144824337342171
